Pairs	Occurrence
NPM1:FLT3	242
NPM1:DNMT3A	230
FLT3:DNMT3A	168
Complex:minus5_5q	92
NRAS:NPM1	81
Complex:TP53	73
TET2:NPM1	70
IDH2:DNMT3A	68
NRAS:DNMT3A	67
PTPN11:NPM1	66
minus5_5q:TP53	65
Complex:mono17_17p_abn17p	64
NPM1:IDH2	62
NPM1:IDH1	59
TET2:FLT3	59
NRAS:FLT3	51
mono17_17p_abn17p:minus5_5q	50
Complex:plus8_8q	50
plus8_8q:FLT3	49
IDH1:DNMT3A	48
Complex:minus7	46
mono17_17p_abn17p:TP53	44
inv16_t16_16:NRAS	44
TET2:DNMT3A	43
PTPN11:DNMT3A	42
RUNX1:FLT3	40
WT1:FLT3	37
Complex:mono12_12p_abn12p	37
FLT3:CEBPA	36
Complex:abn3q_other	36
MLL:FLT3	35
SFRS2:RUNX1	35
IDH1:FLT3	34
IDH2:FLT3	33
RAD21:NPM1	33
t_15_17:FLT3	33
Complex:NRAS	33
minus7:minus5_5q	30
PTPN11:FLT3	29
PTPN11:NRAS	29
RAD21:FLT3	29
RUNX1:DNMT3A	28
NPM1:CEBPA	27
Complex:minus9q	27
MLL:DNMT3A	26
Complex:del7q	26
DNMT3A:CEBPA	25
plus8_8q:NRAS	25
Complex:minus20_20q	25
NRAS:IDH1	24
RUNX1:NRAS	24
Complex:plus21	24
NRAS:CEBPA	23
NRAS:KRAS	23
mono12_12p_abn12p:minus5_5q	23
mono17_17p_abn17p:minus7	23
t_8_21:KIT	23
Complex:minus18_18q	23
GATA2:CEBPA	22
TET2:NRAS	22
minus7:TP53	22
Complex:FLT3	22
Complex:mono4_4q_abn4q	22
SFRS2:IDH2	21
minus7:NRAS	21
t_8_21:minusY	21
TET2:CEBPA	20
TET2:SFRS2	20
WT1:CEBPA	20
minus7:inv3_t3_3	20
plus8_8q:DNMT3A	20
minus18_18q:minus5_5q	20
NPM1:KRAS	19
RAD21:DNMT3A	19
RUNX1:MLL	19
