SAMPLE+gene	variant
PD10790a::ASXL1	1
PD10790a::KRAS	1
PD10793a::CEBPA	1
PD10793a::EP300	1
PD10793a::GATA2	1
PD10793a::PTPN11	1
PD10794a::DNMT3A	1
PD10794a::NPM1	1
PD10794a::NRAS	1
PD10794a::RAD21	1
PD10795a::DNMT3A	1
PD10795a::MLL2	1
PD10795a::NPM1	1
PD10795a::STAG2	1
PD10796a::CEBPA	1
PD10796a::FLT3	1
PD10798a::NPM1	1
PD10800a::FLT3	1
PD10800a::MYC	1
PD10800a::WT1	1
PD10801a::CBL	1
PD10802a::FLT3	1
PD10802a::MLL	1
PD10802a::RUNX1	1
PD10803a::FLT3	1
PD10803a::IDH1	1
PD10803a::NPM1	1
PD10804a::FLT3	1
PD10804a::MLL	1
PD10804a::U2AF1	1
PD10805a::PTPN11	1
PD10806a::CBL	1
PD10806a::NRAS	1
PD10807a::DNMT3A	1
PD10807a::FLT3	1
PD10807a::NPM1	1
PD10807a::NRAS	1
PD10807a::PTPN11	1
PD10809a::CEBPA	2
PD10809a::TET2	1
PD10810a::IDH2	1
PD10810a::PHF6	2
PD10811a::CEBPA	2
PD10812a::DNMT3A	2
PD10812a::FLT3	1
PD10812a::MLL	1
PD10813a::NRAS	1
PD10814a::FLT3	2
PD10815a::CEBPA	2
PD10815a::EP300	1
PD10815a::KIT	2
PD10816a::DNMT3A	2
PD10816a::IDH2	1
PD10817a::NRAS	1
PD10817a::RUNX1	1
PD10818a::CEBPA	2
PD10818a::GATA2	1
PD10818a::MLL3	1
PD10818a::NRAS	1
PD10819a::FLT3	2
PD10819a::PHF6	1
PD10819a::RUNX1	1
PD10819a::STAG2	1
PD10819a::TET2	1
PD10819a::ZRSR2	1
PD10820a::DNMT3A	1
PD10820a::IDH2	1
PD10820a::MLL	1
PD10822a::FLT3	1
PD10824a::DNMT3A	1
PD10824a::NPM1	1
PD10824a::NRAS	1
PD10824a::TET2	1
PD10825a::IDH2	1
PD10825a::RUNX1	1
PD10826a::NF1	1
PD10827a::PTPN11	1
PD10827a::RAD21	1
PD10828a::KIT	1
PD10829a::DNMT3A	1
PD10829a::FLT3	1
PD10829a::NPM1	1
PD10830a::CEBPA	2
PD10830a::WT1	1
PD10831a::PHF6	1
PD10831a::PTPN11	1
PD10832a::NPM1	1
PD10833a::PTPN11	1
PD10836a::MLL	1
PD10836a::NRAS	1
PD10838a::MLL	1
PD10839a::IDH2	1
PD10840a::TP53	1
PD10841a::DNMT3A	1
PD10841a::FLT3	2
PD10841a::NPM1	1
PD10841a::TET2	1
PD10841a::WT1	1
PD10842a::IDH1	1
PD10842a::MLL	1
PD10842a::U2AF1	1
PD10843a::DNMT3A	1
PD10843a::NPM1	1
PD10844a::NPM1	1
PD10844a::PTPN11	1
PD10844a::RAD21	1
PD10845a::CBL	1
PD10845a::WT1	1
PD10846a::FBXW7	1
PD10846a::IKZF1	1
PD10846a::KIT	1
PD10846a::U2AF1	1
PD10847a::DNMT3A	1
PD10847a::FLT3	1
PD10847a::IDH1	1
PD10847a::NPM1	1
PD10848a::DNMT3A	1
PD10848a::FLT3	1
PD10849a::IDH2	1
PD10849a::RUNX1	1
PD10849a::SRSF2	1
PD10850a::DNMT3A	1
PD10850a::FLT3	1
PD10850a::MYC	1
PD10850a::NPM1	1
PD10851a::KRAS	1
PD10851a::MYC	1
PD10852a::FLT3	1
PD10852a::NPM1	1
PD10853a::DNMT3A	1
PD10853a::FLT3	1
PD10853a::NPM1	1
PD10855a::FLT3	1
PD10855a::IDH1	1
PD10855a::NPM1	1
PD10857a::KRAS	1
PD10857a::PTPN11	1
PD10857a::RUNX1	1
PD10858a::RUNX1	1
PD10859a::KRAS	2
PD10859a::SRSF2	1
PD10859a::STAG2	2
PD10860a::RUNX1	1
PD10861a::CEBPA	2
PD10861a::TET2	1
PD10862a::KRAS	1
PD10862a::NPM1	1
PD10862a::TET2	1
PD10863a::TET2	2
PD10864a::RUNX1	1
PD10865a::DNMT3A	1
PD10865a::MLL	1
PD10865a::RAD21	1
PD10865a::SRSF2	1
PD10865a::TET2	1
PD10866a::CEBPA	2
PD10867a::FLT3	1
PD10867a::MLL	1
PD10868a::FLT3	1
PD10868a::MLL	1
PD10868a::PHF6	1
PD10869a::FLT3	1
PD10869a::WT1	1
PD10870a::FLT3	1
PD10870a::NPM1	1
PD10870a::WT1	1
PD10871a::FLT3	1
PD10872a::CEBPA	1
PD10872a::IDH2	1
PD10872a::SRSF2	1
PD10872a::STAG2	1
PD10874a::MLL	1
PD10874a::WT1	1
PD10875a::KIT	1
PD10875a::RUNX1	1
PD10875a::SRSF2	1
PD10875a::TET2	1
PD10876a::CEBPA	1
PD10876a::KIT	1
PD10876a::NRAS	1
PD10877a::RUNX1	1
PD10877a::SRSF2	1
PD10879a::BCOR	1
PD10879a::NF1	1
PD10879a::PHF6	1
PD10879a::TET2	1
PD10880a::DNMT3A	1
PD10880a::FLT3	1
PD10880a::NPM1	1
PD10881a::FLT3	1
PD10881a::NPM1	1
PD10881a::WT1	1
PD10882a::DNMT3A	1
PD10882a::IDH2	1
PD10883a::FLT3	1
PD10884a::FLT3	2
PD10885a::NPM1	1
PD10885a::NRAS	1
PD10885a::PTPN11	1
PD10885a::RAD21	1
PD10886a::FLT3	1
PD10886a::KIT	1
PD10886a::NPM1	1
PD10886a::TET2	1
PD10887a::NRAS	1
PD10887a::RUNX1	1
PD10889a::RUNX1	1
PD10889a::SRSF2	1
PD10890a::CEBPA	2
PD10890a::GATA2	1
PD10890a::KRAS	1
PD10890a::NRAS	1
PD10891a::IDH2	1
PD10891a::NPM1	1
PD10891a::RUNX1	1
PD10891a::SRSF2	1
PD10892a::EZH2	1
PD10894a::CBL	1
PD10894a::MLL	1
PD10894a::RUNX1	1
PD10894a::SRSF2	1
PD10894a::TET2	2
PD10895a::DNMT3A	1
PD10895a::EP300	1
PD10895a::FLT3	1
PD10895a::NPM1	1
PD10896a::DNMT3A	1
PD10896a::FLT3	1
PD10896a::MLL	1
PD10896a::NPM1	1
PD10897a::CBL	1
PD10897a::DNMT3A	1
PD10897a::IDH2	1
PD10897a::NPM1	1
PD10898a::CEBPA	1
PD10898a::SRSF2	1
PD10898a::TET2	1
PD10899a::DNMT3A	1
PD10899a::KRAS	1
PD10899a::NPM1	1
PD10899a::RAD21	1
PD10900a::FLT3	1
PD10901a::DNMT3A	2
PD10901a::IDH2	1
PD10902a::SRSF2	1
PD10903a::TP53	1
PD10904a::DNMT3A	2
PD10904a::FLT3	1
PD10904a::TET2	2
PD10905a::FLT3	1
PD10905a::IDH2	1
PD10905a::NPM1	1
PD10905a::NRAS	1
PD10906a::DNMT3A	1
PD10906a::FLT3	1
PD10906a::RUNX1	1
PD10907a::FLT3	2
PD10907a::NPM1	1
PD10908a::FLT3	1
PD10909a::TP53	1
PD10910a::FLT3	1
PD10910a::NPM1	1
PD10910a::NRAS	1
PD10911a::FLT3	1
PD10912a::NRAS	1
PD10913a::KIT	1
PD10914a::CEBPA	1
PD10914a::GATA2	1
PD10914a::NPM1	1
PD10915a::ASXL1	1
PD10916a::FLT3	1
PD10916a::WT1	1
PD10917a::DNMT3A	1
PD10917a::KDM5A	1
PD10917a::NPM1	1
PD10917a::NRAS	1
PD10917a::WT1	1
PD10918a::DNMT3A	1
PD10918a::FLT3	1
PD10918a::IDH1	1
PD10918a::IDH2	1
PD10918a::NPM1	1
PD10919a::CEBPA	2
PD10919a::DNMT3A	1
PD10919a::GATA2	1
PD10919a::TET2	2
PD10919a::TP53	1
PD10920a::KIT	2
PD10921a::DNMT3A	1
PD10921a::IDH1	1
PD10921a::NPM1	1
PD10921a::NRAS	1
PD10921a::PTPN11	1
PD10922a::FLT3	1
PD10923a::FLT3	1
PD10923a::PTPN11	1
PD10924a::DNMT3A	1
PD10924a::NPM1	1
PD10924a::TET2	2
PD10925a::FLT3	1
PD10925a::NPM1	1
PD10925a::NRAS	1
PD10926a::FLT3	1
PD10926a::WT1	1
PD10927a::ETV6	1
PD10927a::NRAS	1
PD10927a::RUNX1	1
PD10928a::CEBPA	1
PD10928a::DNMT3A	1
PD10928a::KRAS	1
PD10928a::RUNX1	1
PD10928a::STAG2	1
PD10928a::TET2	1
PD10929a::MLL	1
PD10929a::NF1	1
PD10929a::RUNX1	1
PD10930a::DNMT3A	1
PD10930a::NPM1	1
PD10930a::TET2	1
PD10931a::DNMT3A	1
PD10931a::TP53	1
PD10933a::DNMT3A	1
PD10933a::TET2	2
PD10934a::FLT3	1
PD10934a::NPM1	1
PD10935a::KRAS	1
PD10936a::NRAS	1
PD10938a::FLT3	2
PD10938a::KRAS	1
PD10939a::IDH2	1
PD10939a::NPM1	1
PD10939a::SRSF2	1
PD10940a::FLT3	1
PD10940a::MYC	1
PD10940a::NPM1	1
PD10941a::CREBBP	1
PD10941a::DNMT3A	1
PD10941a::IDH2	1
PD10942a::KIT	1
PD10943a::FLT3	1
PD10943a::MLL2	1
PD10943a::NPM1	1
PD10943a::TET2	1
PD10944a::FLT3	1
PD10944a::NPM1	1
PD10944a::TET2	1
PD10945a::NPM1	1
PD10947a::DNMT3A	1
PD10947a::FLT3	1
PD10947a::NPM1	1
PD10948a::KRAS	1
PD10949a::ASXL1	1
PD10949a::NRAS	1
PD10949a::SRSF2	1
PD10950a::DNMT3A	1
PD10950a::FLT3	1
PD10950a::NF1	1
PD10950a::NPM1	1
PD10950a::NRAS	1
PD10951a::FLT3	1
PD10952a::RUNX1	2
PD10953a::FLT3	2
PD10953a::NPM1	1
PD10953a::NRAS	1
PD10953a::STAG2	1
PD10954a::DNMT3A	1
PD10954a::IDH2	1
PD10954a::NPM1	1
PD10954a::PTPN11	2
PD10955a::GATA2	1
PD10955a::KRAS	1
PD10955a::NRAS	1
PD10956a::PHF6	1
PD10956a::U2AF1	1
PD10957a::FLT3	2
PD10957a::IDH1	1
PD10957a::NPM1	1
PD10958a::FLT3	1
PD10959a::FLT3	1
PD10959a::NPM1	1
PD10960a::KIT	1
PD10960a::TET2	1
PD10961a::KRAS	1
PD10961a::WT1	1
PD10962a::PHF6	1
PD10963a::JAK2	1
PD10963a::TP53	1
PD10963a::ZRSR2	1
PD10964a::FLT3	1
PD10964a::MYC	1
PD10964a::NPM1	1
PD10965a::DNMT3A	1
PD10965a::IDH2	1
PD10966a::DNMT3A	1
PD10966a::IDH2	1
PD10966a::NPM1	1
PD10966a::NRAS	1
PD10967a::FLT3	1
PD10967a::KRAS	1
PD10967a::NPM1	1
PD10967a::NRAS	1
PD10968a::FLT3	1
PD10969a::FLT3	1
PD10969a::WT1	1
PD10970a::CEBPA	2
PD10970a::GATA2	1
PD10970a::PTPN11	1
PD10970a::WT1	1
PD10971a::BRAF	1
PD10971a::EZH2	1
PD10971a::NPM1	1
PD10971a::RUNX1	1
PD10971a::STAG2	1
PD10972a::CBL	1
PD10972a::FLT3	1
PD10972a::NPM1	1
PD10973a::DNMT3A	1
